md5sum	file_path	file_type
ec6096edea0d6f46191a0275577b3f02	gs://fc-6c9cb609-9aaf-4e21-b977-2d569cdadabf/hapmap3_r3_b37_fwd.consensus.qc.poly_Ilmn1M.bed	PLINK bed
5a1e4276783afa0a235f907edae1dae3	gs://fc-6c9cb609-9aaf-4e21-b977-2d569cdadabf/hapmap3_r3_b37_fwd.consensus.qc.poly_Ilmn1M.bim	PLINK bim
4d9651bb9e45054dc8ed8c1c59cba19d	gs://fc-6c9cb609-9aaf-4e21-b977-2d569cdadabf/hapmap3_r3_b37_fwd.consensus.qc.poly_Ilmn1M.fam	PLINK fam
